model,model_family,variant,num_keys,num_updates,condition,query_type,condition_label,slot,subset,label_set,C,layer,rel_depth,top1,top1_std,mean_rank,mrr,n_folds,hit_max_iter,n_probe,chance,provenance_tier,source_file,notes
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,semantic,FVQ,1,all,expected,0.1,20,0.555556,0.06924583754367195,0.003996313191484566,17.105795275174522,0.18313763771583913,5,False,6152,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,semantic,FVQ,1,all,expected,0.1,21,0.583333,0.06973126481874078,0.007163899598991901,17.628382767661957,0.17715448763633082,5,False,6152,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,semantic,FVQ,1,all,expected,0.1,22,0.611111,0.08842556451559642,0.004977803371935819,16.640598231327562,0.2006825702911114,5,False,6152,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,semantic,FVQ,1,all,expected,0.1,23,0.638889,0.39824427228837683,0.008664276451208021,6.393649554529665,0.5307174143453188,5,False,6152,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,semantic,FVQ,1,all,expected,0.1,24,0.666667,0.3819908462285273,0.009527263142945833,6.4988159537159955,0.5182974924631137,5,False,6152,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,semantic,FVQ,1,all,expected,0.1,25,0.694444,0.42035148897386615,0.00674899733676702,5.6402806892406865,0.5556795024733086,5,False,6152,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,semantic,FVQ,1,all,expected,0.1,26,0.722222,0.4813063607484166,0.0066901336944073615,4.447985443786201,0.6162763038647308,5,False,6152,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,semantic,FVQ,1,all,expected,0.1,27,0.75,0.5622574019403882,0.01965395642319159,3.7605913626967302,0.6804844282065229,5,False,6152,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,semantic,FVQ,1,all,expected,0.1,28,0.777778,0.7447995878821501,0.012841526235949025,2.4530572672095525,0.820055051491375,5,False,6152,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,semantic,FVQ,1,all,expected,0.1,29,0.805556,0.747239536895775,0.011750826980560175,2.3615212696399914,0.8237208048504835,5,False,6152,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
