model_short,model_full,num_keys,num_updates,n_trials,regime,RI_acc,RI_ci_lower,RI_ci_upper,RI_n_failures,RI_n_garbage,PI_acc,PI_ci_lower,PI_ci_upper,PI_n_failures,PI_n_garbage,gap_PI_minus_RI
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,20,7,100,C,0.64,0.54,0.73,36,5,0.13,0.07,0.2,87,1,-0.51
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,20,10,100,C,0.52,0.42,0.62,48,6,0.02,0.0,0.05,98,4,-0.5
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,20,15,100,B,0.35,0.25,0.44,65,8,0.14,0.08,0.21,86,3,-0.21
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,20,20,100,B,0.29,0.2,0.38,71,7,0.13,0.07,0.19,87,5,-0.16
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,20,30,100,AB,0.23,0.15,0.32,77,15,0.11,0.06,0.18,89,5,-0.12
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,20,50,100,AB,0.14,0.07,0.21,86,23,0.08,0.03,0.14,92,12,-0.06
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,20,75,100,D,0.09,0.04,0.15,91,35,0.1,0.05,0.16,90,22,0.01
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,20,100,100,A,0.12,0.06,0.18,88,38,0.11,0.05,0.18,89,25,-0.01
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,25,5,100,C,0.72,0.63,0.8,28,0,0.09,0.04,0.15,91,0,-0.63
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,25,7,100,C,0.49,0.39,0.59,51,3,0.07,0.03,0.12,93,3,-0.42
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,25,10,100,C,0.51,0.42,0.61,49,5,0.09,0.04,0.15,91,2,-0.42
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,25,15,100,C,0.35,0.26,0.44,65,10,0.09,0.04,0.15,91,3,-0.26
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,25,20,100,B,0.26,0.18,0.35,74,11,0.1,0.05,0.16,90,5,-0.16
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,25,30,100,AB,0.13,0.07,0.2,87,21,0.05,0.01,0.1,95,4,-0.08
