theme,model,model_family,is_proprietary,variant,dataset,prompt_format,num_keys,num_updates,condition,query_type,position,accuracy,gap,ci_lower,ci_upper,wilson_hw,n_trials,n_correct,n_offstream,accuracy_onstream,error_types_json,regime,split,provenance_tier,source_file,notes
01_fvq_cvq,Qwen2.5-1.5B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,3,100,CVQ,semantic,last,0.12,,0.06,0.19,,100,,11,0.1348,"{""correct"": 12, ""garbage"": 11, ""intermediate_intrusion"": 76, ""primacy_intrusion"": 1}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-1.5B-Instruct/stage1_sweep_20260408_231134.json,
01_fvq_cvq,Qwen2.5-1.5B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,3,100,FVQ,semantic,first,0.84,,0.76,0.91,,100,,5,0.8842,"{""correct"": 84, ""garbage"": 5, ""intermediate_intrusion"": 10, ""recency_intrusion"": 1}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-1.5B-Instruct/stage1_sweep_20260408_231134.json,
01_fvq_cvq,Qwen2.5-1.5B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,5,5,CVQ,semantic,last,0.18,,0.11,0.26,,100,,0,0.18,"{""correct"": 18, ""intermediate_intrusion"": 70, ""primacy_intrusion"": 12}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-1.5B-Instruct/stage1_sweep_20260408_231134.json,
01_fvq_cvq,Qwen2.5-1.5B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,5,5,FVQ,semantic,first,0.98,,0.95,1.0,,100,,0,0.98,"{""correct"": 98, ""intermediate_intrusion"": 2}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-1.5B-Instruct/stage1_sweep_20260408_231134.json,
01_fvq_cvq,Qwen2.5-1.5B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,5,7,CVQ,semantic,last,0.24,,0.16,0.33,,100,,1,0.2424,"{""correct"": 24, ""garbage"": 1, ""intermediate_intrusion"": 72, ""primacy_intrusion"": 3}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-1.5B-Instruct/stage1_sweep_20260408_231134.json,
01_fvq_cvq,Qwen2.5-1.5B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,5,7,FVQ,semantic,first,0.94,,0.89,0.98,,100,,2,0.9592,"{""correct"": 94, ""garbage"": 2, ""intermediate_intrusion"": 4}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-1.5B-Instruct/stage1_sweep_20260408_231134.json,
01_fvq_cvq,Qwen2.5-1.5B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,5,10,CVQ,semantic,last,0.26,,0.18,0.35,,100,,1,0.2626,"{""correct"": 26, ""garbage"": 1, ""intermediate_intrusion"": 69, ""primacy_intrusion"": 4}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-1.5B-Instruct/stage1_sweep_20260408_231134.json,
01_fvq_cvq,Qwen2.5-1.5B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,5,10,FVQ,semantic,first,0.85,,0.77,0.92,,100,,4,0.8854,"{""correct"": 85, ""garbage"": 4, ""intermediate_intrusion"": 11}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-1.5B-Instruct/stage1_sweep_20260408_231134.json,
01_fvq_cvq,Qwen2.5-1.5B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,5,15,CVQ,semantic,last,0.24,,0.16,0.3202,,100,,6,0.2553,"{""correct"": 24, ""garbage"": 6, ""intermediate_intrusion"": 70}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-1.5B-Instruct/stage1_sweep_20260408_231134.json,
01_fvq_cvq,Qwen2.5-1.5B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,5,15,FVQ,semantic,first,0.86,,0.79,0.92,,100,,3,0.8866,"{""correct"": 86, ""garbage"": 3, ""intermediate_intrusion"": 11}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-1.5B-Instruct/stage1_sweep_20260408_231134.json,
