state,K,N,condition,layer,correctness_cv_auc,retrieval_all_auc,retrieval_wrong_auc,retrieval_correct_auc,behavioral_acc,n_trials,n_all,n_wrong,n_correct
lora,25,20,IVQ_d10,18,0.8051282051282049,0.5492812499999999,,0.48688362919132155,0.975,400,400,10,390
lora,25,20,IVQ_d10,19,0.876923076923077,0.5050625,,0.5207758053911901,0.975,400,400,10,390
lora,25,20,IVQ_d10,20,0.8653846153846153,0.5426875,,0.4739316239316239,0.975,400,400,10,390
lora,25,20,IVQ_d10,21,0.8923076923076921,0.5089374999999999,,0.48770545693622624,0.975,400,400,10,390
lora,25,20,IVQ_d10,22,0.8551282051282051,0.51740625,,0.48859303090072326,0.975,400,400,10,390
lora,25,20,IVQ_d10,23,0.8051282051282053,0.5201874999999999,,0.4751150558842866,0.975,400,400,10,390
lora,25,20,IVQ_d10,24,0.7987179487179488,0.514,,0.48182117028270877,0.975,400,400,10,390
lora,25,20,IVQ_d10,25,0.735897435897436,0.5128437499999999,,0.5124589086127548,0.975,400,400,10,390
lora,25,20,IVQ_d10,26,0.7435897435897437,0.48971875000000004,,0.5226166995397765,0.975,400,400,10,390
lora,25,20,IVQ_d10,27,0.8,0.53859375,,0.5190006574621959,0.975,400,400,10,390
lora,25,20,IVQ_d10,28,0.8076923076923077,0.5091875000000001,,0.5199211045364892,0.975,400,400,10,390
lora,25,20,IVQ_d10,29,0.8282051282051281,0.5126250000000001,,0.49342537804076264,0.975,400,400,10,390
lora,25,20,IVQ_d10,30,0.8384615384615385,0.5745625,,0.5270545693622617,0.975,400,400,10,390
lora,25,20,IVQ_d10,31,0.7346153846153846,0.959,,0.9596646942800788,0.975,400,400,10,390
lora,25,20,IVQ_d10,32,0.7884615384615385,0.9900625,,0.9884615384615385,0.975,400,400,10,390
lora,25,20,IVQ_d10,33,0.7551282051282051,0.998625,,0.997698882314267,0.975,400,400,10,390
lora,25,20,IVQ_d10,34,0.6782051282051282,0.9995625,,0.9988823142669296,0.975,400,400,10,390
lora,25,20,IVQ_d10,35,0.5948717948717949,0.9993124999999999,,0.9986850756081525,0.975,400,400,10,390
lora,25,20,IVQ_d25,0,0.5425,0.4925925925925926,0.65625,0.546,0.5556,90,90,40,50
lora,25,20,IVQ_d25,1,0.535,0.4962962962962962,0.665625,0.472,0.5556,90,90,40,50
lora,25,20,IVQ_d25,2,0.49749999999999994,0.5308641975308642,0.665625,0.48999999999999994,0.5556,90,90,40,50
