theme,model,model_family,is_proprietary,variant,dataset,prompt_format,num_keys,num_updates,condition,query_type,position,accuracy,gap,ci_lower,ci_upper,wilson_hw,n_trials,n_correct,n_offstream,accuracy_onstream,error_types_json,regime,split,provenance_tier,source_file,notes
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,2,30,FVQ,ordinal,first,1.0,,,,,100,,,,,,,raw,lora_intervention/experiments/gemma_results/block/results_K2N30.json,behavioural accuracy only; per-layer P(v_last) / P(v_first) curves remain in the source file
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,75,IVQ,ordinal,54,0.6354166666666666,,0.5679020187097147,0.7029313146236186,0.06751464795695197,192,122,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N75; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,75,IVQ,ordinal,56,0.6761363636363636,,0.6075392790858896,0.7447334481868377,0.06859708455047403,176,119,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N75; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,75,IVQ,ordinal,58,0.6302083333333334,,0.562500791026483,0.6979158756401838,0.06770754230685039,192,121,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N75; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,75,IVQ,ordinal,60,0.7916666666666666,,0.7253414528481628,0.8579918804851705,0.06632521381850383,144,114,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N75; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,75,IVQ,ordinal,62,0.7102272727272727,,0.6436232537909743,0.7768312916635711,0.06660401893629847,176,125,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N75; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,75,IVQ,ordinal,64,0.6477272727272727,,0.5777716510339344,0.7176828944206111,0.06995562169333841,176,114,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N75; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,75,IVQ,ordinal,66,0.796875,,0.7271332977211775,0.8666167022788225,0.06974170227882245,128,102,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N75; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,75,IVQ,ordinal,68,0.8854166666666666,,0.8195758312681732,0.95125750206516,0.06584083539849336,96,85,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N75; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,75,IVQ,ordinal,70,0.9125,,0.846496063261101,0.9785039367388989,0.06600393673889889,80,73,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N75; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,75,IVQ,ordinal,72,0.7708333333333334,,0.70236493703996,0.8393017296267068,0.06846839629337345,144,111,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N75; condition key base_block
